TIME_PERIOD,GEO,NOGA,CLASS,LEGAL,INDICATOR,OBS_VALUE,OBS_STATUS
2015,2,_T,_T,_T,Jobs created by New businesses,4922,A
2015,10,_T,_T,_T,Jobs created by New businesses,1555,A
2015,11,_T,_T,_T,Jobs created by New businesses,1274,A
2015,24,_T,_T,_T,Jobs created by New businesses,1031,A
2015,26,_T,_T,_T,Jobs created by New businesses,347,A
2015,CH03,_T,_T,_T,Jobs created by New businesses,6148,A
2015,12,_T,_T,_T,Jobs created by New businesses,1594,A
2015,13,_T,_T,_T,Jobs created by New businesses,1432,A
2015,19,_T,_T,_T,Jobs created by New businesses,3122,A
2015,CH04,_T,_T,_T,Jobs created by New businesses,10163,A
2015,1,_T,_T,_T,Jobs created by New businesses,10163,A
2015,CH05,_T,_T,_T,Jobs created by New businesses,6437,A
2015,8,_T,_T,_T,Jobs created by New businesses,179,A
2015,14,_T,_T,_T,Jobs created by New businesses,467,A
2015,15,_T,_T,_T,Jobs created by New businesses,321,A
2015,16,_T,_T,_T,Jobs created by New businesses,98,A
2015,17,_T,_T,_T,Jobs created by New businesses,2573,A
2015,18,_T,_T,_T,Jobs created by New businesses,1336,A
2015,20,_T,_T,_T,Jobs created by New businesses,1463,A
2015,CH06,_T,_T,_T,Jobs created by New businesses,6714,A
2015,3,_T,_T,_T,Jobs created by New businesses,2503,A
2015,4,_T,_T,_T,Jobs created by New businesses,142,A
2015,5,_T,_T,_T,Jobs created by New businesses,1322,A
2015,6,_T,_T,_T,Jobs created by New businesses,232,A
2015,7,_T,_T,_T,Jobs created by New businesses,303,A
2015,9,_T,_T,_T,Jobs created by New businesses,2212,A
2015,CH07,_T,_T,_T,Jobs created by New businesses,4605,A
2015,21,_T,_T,_T,Jobs created by New businesses,4605,A
2015,CH,B-F,_T,_T,Jobs created by New businesses,8257,A
2015,CH,B-E,_T,_T,Jobs created by New businesses,2632,A
2015,CH,F,_T,_T,Jobs created by New businesses,5625,A
2015,CH,G-S,_T,_T,Jobs created by New businesses,46366,A
2015,CH,G,_T,_T,Jobs created by New businesses,6547,A
2015,CH,H,_T,_T,Jobs created by New businesses,1413,A
2015,CH,I,_T,_T,Jobs created by New businesses,2750,A
2015,CH,J,_T,_T,Jobs created by New businesses,3145,A
2015,CH,K,_T,_T,Jobs created by New businesses,2227,A
2015,CH,L-N,_T,_T,Jobs created by New businesses,5675,A
2015,CH,M,_T,_T,Jobs created by New businesses,10183,A
2015,CH,P,_T,_T,Jobs created by New businesses,2112,A
2015,CH,Q,_T,_T,Jobs created by New businesses,5468,A
2015,CH,R,_T,_T,Jobs created by New businesses,3015,A
2015,CH,S,_T,_T,Jobs created by New businesses,3831,A
2015,CH,_T,1,_T,Jobs created by New businesses,32475,A
2015,CH,_T,10+,_T,Jobs created by New businesses,2720,A
2015,CH,_T,2TO4,_T,Jobs created by New businesses,14925,A
2015,CH,_T,5TO9,_T,Jobs created by New businesses,4503,A
2015,CH,_T,_T,1,Jobs created by New businesses,25532,A
2015,CH,_T,_T,2,Jobs created by New businesses,1175,A
2015,CH,_T,_T,3,Jobs created by New businesses,10452,A
2015,CH,_T,_T,4,Jobs created by New businesses,15395,A
2015,CH,_T,_T,5,Jobs created by New businesses,155,A
2015,CH,_T,_T,6,Jobs created by New businesses,518,A
2015,CH,_T,_T,7,Jobs created by New businesses,1396,A
2015,CH,_T,_T,8,Jobs created by New businesses,0,A
2015,CH,_T,_T,_T,New businesses,39526,A
2015,CH01,_T,_T,_T,New businesses,8123,A
2015,22,_T,_T,_T,New businesses,3825,A
2015,23,_T,_T,_T,New businesses,1332,A
2015,25,_T,_T,_T,New businesses,2966,A
2015,CH02,_T,_T,_T,New businesses,6988,A
2015,2,_T,_T,_T,New businesses,3790,A
2015,10,_T,_T,_T,New businesses,1181,A
2015,11,_T,_T,_T,New businesses,913,A
2015,24,_T,_T,_T,New businesses,852,A
2015,26,_T,_T,_T,New businesses,252,A
2015,CH03,_T,_T,_T,New businesses,4616,A
2015,12,_T,_T,_T,New businesses,1146,A
2015,13,_T,_T,_T,New businesses,1067,A
2015,19,_T,_T,_T,New businesses,2403,A
2015,CH04,_T,_T,_T,New businesses,7235,A
2015,1,_T,_T,_T,New businesses,7235,A
2015,CH05,_T,_T,_T,New businesses,4711,A
2015,8,_T,_T,_T,New businesses,129,A
2015,14,_T,_T,_T,New businesses,325,A
2015,15,_T,_T,_T,New businesses,260,A
2015,16,_T,_T,_T,New businesses,77,A
2015,17,_T,_T,_T,New businesses,1911,A
2015,18,_T,_T,_T,New businesses,919,A
2015,20,_T,_T,_T,New businesses,1090,A
2015,CH06,_T,_T,_T,New businesses,4732,A
2015,3,_T,_T,_T,New businesses,1803,A
2015,4,_T,_T,_T,New businesses,102,A
2015,5,_T,_T,_T,New businesses,945,A
2015,6,_T,_T,_T,New businesses,172,A
2015,7,_T,_T,_T,New businesses,223,A
2015,9,_T,_T,_T,New businesses,1487,A
2015,CH07,_T,_T,_T,New businesses,3121,A
2015,21,_T,_T,_T,New businesses,3121,A
2015,CH,B-F,_T,_T,New businesses,5035,A
2015,CH,B-E,_T,_T,New businesses,1890,A
2015,CH,F,_T,_T,New businesses,3145,A
2015,CH,G-S,_T,_T,New businesses,34491,A
2015,CH,G,_T,_T,New businesses,4722,A
2015,CH,H,_T,_T,New businesses,964,A
2015,CH,I,_T,_T,New businesses,1249,A
2015,CH,J,_T,_T,New businesses,2289,A
